file_name,Ticker,Year,Quarter,sentence,keyword,category,finbert_positive,finbert_negative,finbert_neutral,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,word_count
ORI_3Q15.pdf,ORI,2015,Q3,"While our rate increases are moderating, we still
expect organic growth and strong retention ratios to persist on our existing accounts.",rate increases,Financial,0.9500120282173157,0.0,0.0,41.7,17.92,0.0,0.9523809523809523,21
ORI_3Q15.pdf,ORI,2015,Q3,"Some of our operations are achieving low
to mid-single-digit rate increases, while other parts of our business that have had less than acceptable
underwriting results are achieving mid- to high single-digit rate increases.",rate increases,Financial,0.9489401578903198,0.0,0.0,29.52,18.05,0.0,0.8181818181818182,33
ORI_3Q15.pdf,ORI,2015,Q3,"By the same token, if you track the actual
loss ratio that we've been booking, it's not inconceivable during this runoff period for MI that we could
end up with loss ratios in the 40s or 50s, okay?",loss ratios,Financial,0.0,0.0,0.8434860706329346,58.29,18.36,0.0,0.8947368421052632,38
ORI_3Q15.pdf,ORI,2015,Q3,"And we're making sure that our
rate increases, particularly on that line, are commensurate with those trends that we're seeing.",rate increases,Financial,0.5143731832504272,0.0,0.0,51.18,14.0,0.0,0.85,20
ORI_3Q15.pdf,ORI,2015,Q3,"We feel that our -- the rate increases that we
are getting on that line are keeping pace with those trends.
",rate increases,Financial,0.901461124420166,0.0,0.0,85.02,10.0,0.0,0.8571428571428571,21
ORI_3Q15.pdf,ORI,2015,Q3,"Gary Kent Ransom
Dowling & Partners Securities, LLC
Is this the line where you are getting the largest rate increases, versus workers' comp or others?
Craig R. Smiddy
President & COO of Old Republic General Insurance Group Inc
Yes, not necessarily.",rate increases,Financial,0.0,0.0,0.894358217716217,51.68,13.95,0.0,0.9512195121951219,41
ORI_3Q15.pdf,ORI,2015,Q3,"The -- as I mentioned, where we are getting the largest rate increases are around
the areas of the portfolio where we have experienced some underwriting difficulties, particularly on the
workers' compensation and some segments of workers' compensation.",rate increases,Financial,0.43832501769065857,0.0,0.0,17.0,22.37,0.0,0.7631578947368421,38
ORI_3Q15.pdf,ORI,2015,Q3,"Gary Kent Ransom
Dowling & Partners Securities, LLC
If I look at the trend of your workers' comp loss ratios, it was very good improvement this quarter.",loss ratios,Financial,0.9326271414756775,0.0,0.0,62.01,13.48,0.0,1.0,27
ORI_3Q15.pdf,ORI,2015,Q3,"our objective, and we believe we have the basis for doing that, by virtue of
the rate increases that we've been putting through, as well as the selection of risks that we are doing,
again as Craig said, we are cutting back on some parts of the business.",rate increases,Financial,0.0,0.5916664600372314,0.0,48.14,21.7,0.0,0.75,48
ORI_3Q16.pdf,ORI,2016,Q3,"While rate increases are moderating on the workers' compensation line of coverage, we continue to
obtain strong rate increases on the auto liability line of coverage to offset the severity trends that we've
observed for the last several quarters.",rate increases,Financial,0.947459876537323,0.0,0.0,14.97,22.78,0.0,0.7692307692307693,39
ORI_3Q16.pdf,ORI,2016,Q3,"So we continue to obtain rate increases to offset the higher cost we see,
and we will experience the favorable compounding effect of these rate increases as the premiums earn in.
",rate increases,Financial,0.9380847215652466,0.0,0.0,40.01,20.14,0.0,0.7741935483870968,31
ORI_3Q16.pdf,ORI,2016,Q3,"And where we do provide limits greater than $1 million, we
have a significant amount of quality external reinsurance in place.
",reinsurance,Financial,0.7184273600578308,0.0,0.0,50.16,16.02,0.0,0.9523809523809523,21
ORI_3Q16.pdf,ORI,2016,Q3,"And we are responding to that, both in terms of what we think are better underwriting controls,
being faster on our feet in terms of setting the right case reserves on cases as well as getting some pretty
significant rate increases.",rate increases,Financial,0.9396933913230896,0.0,0.0,46.78,20.3,0.0,0.8292682926829268,41
ORI_3Q16.pdf,ORI,2016,Q3,"But looking at
the loss ratios, it looked like there may have been some potential adverse development in the commercial
auto, offset by favorable elsewhere.",loss ratios,Financial,0.0,0.864892303943634,0.0,46.1,16.4,0.0,0.96,25
