file_name,Ticker,Year,Quarter,sentence,keyword,category,finbert_positive,finbert_negative,finbert_neutral,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,word_count
ALL_1Q16.pdf,ALL,2016,Q1,"And the
homeowners business continued to generate margins that enable us to handle large catastrophe losses
like we saw in March and still generated good return for shareholders.
",catastrophe,Financial,0.9539004564285278,0.0,0.0,34.6,19.77,0.0,0.9642857142857143,28
ALL_1Q16.pdf,ALL,2016,Q1,"We also have about 1,200
specially trained catastrophe adjusters on the ground in Texas with the expertise, technology and
relationships that enable our customers to rebuild after these storms.
",catastrophe,Financial,0.6866398453712463,0.0,0.0,42.04,18.5,0.0,0.9655172413793104,29
ALL_1Q16.pdf,ALL,2016,Q1,"The largest driver of the variance from last year's first quarter was catastrophe losses, which increased
from -- by $533 million to $827 million.",catastrophe,Financial,0.0,0.7270438075065613,0.0,65.05,10.94,0.0,0.9583333333333334,24
ALL_1Q16.pdf,ALL,2016,Q1,"Allstate brand homeowners insurance had a recorded combined ratio of 93.4 for the quarter, despite the
significant catastrophe losses.",catastrophe,Financial,0.755251944065094,0.0,0.0,44.91,12.22,0.0,0.9473684210526315,19
ALL_1Q16.pdf,ALL,2016,Q1,"Auto written premium growth was 4.7% for the quarter, driven by the positive average
premium growth of 4.8%, and as said, the impact of the rate increases continues to flow into results.
",rate increases,Financial,0.8786513805389404,0.0,0.0,60.61,10.53,11.2,0.8125,32
ALL_1Q16.pdf,ALL,2016,Q1,"The underlying combined ratio was 88.3
for the first quarter, 2.3 points better than the prior year, but as you can see, the recorded combined ratio
was 105.8, and that's because the Encompass' performance was also significantly impacted by catastrophe
losses in the quarter.
",catastrophe,Financial,0.0,0.8809646368026733,0.0,60.31,9.85,10.1,0.8181818181818182,44
ALL_1Q16.pdf,ALL,2016,Q1,"Recorded combined ratio of 98.4 increased 4.7 points versus
the first quarter of 2015, driven by the $827 million catastrophe losses Tom mentioned earlier, while the
underlying combined ratio of 87.2 improved by 1.8 points.
",catastrophe,Financial,0.9549515843391418,0.0,0.0,62.54,6.95,8.1,0.8,35
ALL_1Q16.pdf,ALL,2016,Q1,"This was 4.7 points higher than the first quarter of 2015's result of 93.7 but included
6.7 more points in catastrophe losses.",catastrophe,Financial,0.6733495593070984,0.0,0.0,82.81,5.84,7.2,0.9090909090909091,22
ALL_1Q16.pdf,ALL,2016,Q1,"On the bottom left, you can
see the significant impact catastrophes had in the first quarter of 2016, given the gap between the blue
column and the red line.",catastrophe,Financial,0.0,0.0,0.8280801773071289,58.96,14.36,0.0,0.8275862068965517,29
ALL_1Q16.pdf,ALL,2016,Q1,"On an underlying basis, continued favorable noncatastrophe frequency and
severity and lower expenses resulted in a 59.4 underlying combined ratio in the quarter, which was 5.1
points lower than the prior year quarter.",catastrophe,Financial,0.0,0.9631941318511963,0.0,34.93,14.1,13.0,0.8484848484848485,33
