Year,Quarter,Ticker,keyword,category,finbert_negative,vader_negative,gpt_negative
2007,2Q,AIG,loss ratios,Financial,9.638613202213295e-05,0.22466666666666665,0.104357467757331
2007,2Q,AIG,reinsurance,Financial,3.4468807143639424e-05,0.06433333333333334,0.104357467757331
2007,2Q,AIG,risk assessment,Risk,2.3327444864662542e-08,0.206,0.104357467757331
2007,2Q,ALL,catastrophe,Financial,0.2729856505716209,0.17709090909090908,0.12700482368469238
2007,2Q,ALL,earthquake,Climate,0.8884888291358948,0.0,0.12700482368469238
2007,2Q,ALL,hurricane,Climate,0.30524165422449195,0.05399999999999999,0.12700482368469238
2007,2Q,ALL,rate increases,Financial,0.00861826795153315,0.0,0.12700482368469238
2007,2Q,ALL,reinsurance,Financial,0.05591875964218889,0.0032105263157894736,0.12700482368469238
2007,3Q,ALL,catastrophe,Financial,0.4755924383049205,0.1384,0.34054164787133534
2007,3Q,ALL,hurricane,Climate,0.2034139558259198,0.011599999999999978,0.34054164787133534
2007,3Q,ALL,market exposure,Financial,4.499002534430474e-05,0.0,0.34054164787133534
2007,3Q,ALL,rate increases,Financial,0.0002929519978351,0.0,0.34054164787133534
2007,3Q,ALL,reinsurance,Financial,0.0908183777501108,0.0405,0.34054164787133534
2007,3Q,CB,catastrophe,Financial,1.2630200217245148e-05,0.208,0.11393113778187679
2007,3Q,CB,loss ratios,Financial,0.0016902970382943,0.263,0.11393113778187679
2007,3Q,CB,rate increases,Financial,0.3068772256374359,0.0,0.11393113778187679
2007,3Q,CB,reinsurance,Financial,0.18369959504492717,0.055,0.11393113778187679
2007,4Q,AIG,capital markets,Financial,0.00041695759864514997,0.16999999999999998,0.2116014315531804
2007,4Q,AIG,loss ratios,Financial,0.067533291876316,0.144,0.2116014315531804
2007,4Q,AIG,market volatility,Risk,0.039301272141945745,0.02666666666666667,0.2116014315531804
2007,4Q,AIG,reinsurance,Financial,0.00029876341053141644,0.0,0.2116014315531804
2007,4Q,AIG,stress testing,Risk,0.4552787615793932,0.15699999999999997,0.2116014315531804
2007,4Q,AIG,wildfire,Climate,0.5601729676127433,0.18849999999999995,0.2116014315531804
2007,4Q,AIZ,catastrophe,Financial,0.9643407464027404,0.301,0.43359899520874023
2007,4Q,AIZ,rate increases,Financial,0.0001725918991724,0.0,0.43359899520874023
2007,4Q,AIZ,reinsurance,Financial,9.679392860562077e-07,0.188,0.43359899520874023
2007,4Q,ALL,catastrophe,Financial,0.2626104494169491,0.13375,0.08605873058823978
