file_name,Ticker,Year,Quarter,sentence,keyword,category,finbert_positive,finbert_negative,finbert_neutral,vader_positive,vader_negative,vader_neutral,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,word_count
SKWD_1Q23.txt,SKWD,2023,1Q,"NWP Growth Nuance: NWP growth of 49% y/y was obscured by the restructuring of a global
property quota share reinsurance treaty in 1Q22.
",reinsurance,Financial,0.0001881632924778387,0.32096362113952637,0.6788482069969177,0.28,0.0,0.72,56.59,14.42,0.0,0.9130434782608695,23
SKWD_1Q23.txt,SKWD,2023,1Q,"US
Alex Barenklau
+1 212 526 1021
alexander.barenklau@barclays.com
BCI, US
Barclays | Skyward Specialty Insurance Group, Inc.
Ceded Re Strategy: The May 1 property catastrophe renewal was in line with managements'
price and term expectations.",catastrophe,Financial,6.574743565579411e-06,2.50811644946225e-05,0.999968409538269,0.0,0.121,0.879,51.55,13.93,13.0,0.9714285714285714,35
SKWD_1Q23.txt,SKWD,2023,1Q,"On the top of the
tower, SKWD maintains reinsurance limits in excess of a 1 in 250 year event.",reinsurance,Financial,8.738821634324268e-06,4.628752139979042e-05,0.9999450445175171,0.101,0.0,0.899,77.57,9.71,0.0,0.8421052631578947,19
SKWD_1Q23.txt,SKWD,2023,1Q,"Adj. loss ratio (ex LPT
PYD)
Expense ratio
26.4%
26.9%
Combined ratio
110.3%
97.8%
Accident year loss ratio
ex cats
Accident year combined
95.3%
92.2%
92.5%
ratio ex cats
Adj. combined ratio (ex
LPT PYD)
PYD $ - (favorable)
unfavorable
60,337
16,063
PYD points- (favorable)
unfavorable
14.0%
3.2%
Catastrophes $
4,223
11,828
CAT points
1.0%
2.4%
FY 2020
83.9%
70.9%
65.3%
83.9%
67.7%
68.9%
65.3%
110.3%
FY 2021
94.6%
Source:",catastrophe,Financial,0.00016998448700178415,0.000763745279982686,0.9990662932395935,0.0,0.146,0.854,79.87,5.15,8.5,0.6714285714285714,70
SKWD_1Q23.txt,SKWD,2023,1Q,"Higher dependence on
reinsurance than established peers.",reinsurance,Financial,5.412612881627865e-05,0.999755322933197,0.00019052978313993663,0.0,0.0,1.0,30.53,19.94,0.0,1.0,7
SKWD_2Q23.txt,SKWD,2023,2Q,"Rate increases are broad based,
with the greatest uplift seen in Global Property.
",rate increases,Financial,0.9520553350448608,2.5953738713724306e-06,0.04794212430715561,0.259,0.0,0.741,66.74,11.35,0.0,1.0,13
SKWD_2Q23.txt,SKWD,2023,2Q,"SKWD typically waits 3 years to reflect positive trends in its
current vs. initial loss ratios.
",loss ratios,Financial,0.00034180976217612624,0.0002552096266299486,0.9994029998779297,0.19,0.122,0.688,63.36,8.2,0.0,1.0,16
SKWD_2Q23.txt,SKWD,2023,2Q,SKWD has not shared prior period loss ratios of exited businesses.,loss ratios,Financial,4.903886747342767e-06,3.852066583931446e-05,0.9999566078186035,0.0,0.325,0.675,51.85,15.31,0.0,1.0,11
SKWD_2Q23.txt,SKWD,2023,2Q,2Q catastrophe losses of $6.8mn were worse than our modeled $1.8mn.,catastrophe,Financial,1.1253948741796194e-06,0.9999986886978149,2.336862365837078e-07,0.0,0.56,0.44,82.81,5.84,0.0,1.0,11
SKWD_2Q23.txt,SKWD,2023,2Q,"Incrementally, we learned that its risk adjusted reinsurance pricing for
property catastrophe risk at 5/1 was 15-20%.",catastrophe,Financial,6.2319531934917904e-06,3.753864439204335e-05,0.9999562501907349,0.0,0.381,0.619,37.3,18.56,0.0,0.9411764705882353,17
