file_name,Ticker,Year,Quarter,sentence,keyword,category,finbert_positive,finbert_negative,finbert_neutral,vader_positive,vader_negative,vader_neutral,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,word_count,named_entity_count
AFG_2Q24.pdf,AFG,2024,2Q,"spglobal.com/marketintelligence 5second quarter include 2.3 points of catastrophe losses compared to 3.5 points in the 2023 second
quarter.
",catastrophe,Financial,7.90895355748944e-05,0.08180609345436096,0.9181147813796997,0.0,0.307,0.693,40.01,9.07,7.8,0.9444444444444444,18,4
AFG_2Q24.pdf,AFG,2024,2Q,"We've reported overall renewal rate increases for 32 consecutive quarters, and we believe we're achieving
overall renewal rate increases in excess of prospective loss ratio trends to meet or exceed targeted
returns.
",rate increases,Financial,1.0,1.867105581254691e-08,2.452420311271908e-08,0.0,0.069,0.931,22.08,19.05,0.0,0.875,32,1
AFG_2Q24.pdf,AFG,2024,2Q,"The drought monitor continues to be significantly better than the prior two years in those growing regions
of the country.",drought,Climate,1.0,1.6166898930691787e-08,9.954059798644721e-09,0.204,0.0,0.796,42.72,14.0,0.0,0.95,20,1
AFG_2Q24.pdf,AFG,2024,2Q,"And while we have some areas of the country that could use more moisture, we don't have
any current concerns about widespread drought affecting our crop results this year.",drought,Climate,0.00014534863294102252,0.5754330158233643,0.42442160844802856,0.0,0.0,1.0,67.42,12.98,0.0,0.9310344827586207,29,1
AFG_2Q24.pdf,AFG,2024,2Q,"Actually, Hurricane
Beryl pushed moisture up to the Midwest providing some relief to crops that were experiencing significant
heat.
",hurricane,Climate,0.005647394340485334,0.9910016655921936,0.003351008053869009,0.224,0.0,0.776,26.81,18.13,0.0,0.9473684210526315,19,2
AFG_2Q24.pdf,AFG,2024,2Q,This is our 12th year of rate increases in this line.,rate increases,Financial,0.9781253933906555,2.7916833005292574e-06,0.02187175303697586,0.0,0.0,1.0,94.15,8.04,0.0,1.0,11,1
AFG_2Q24.pdf,AFG,2024,2Q,"The growth in this group was partially
offset by a planned measure of caution around some of our social inflation exposed businesses, which
reduces the impact of significant rate increases on overall premium growth.
",rate increases,Financial,0.9932589530944824,0.00580356502905488,0.0009375434019602835,0.188,0.035,0.777,36.97,20.66,0.0,0.9411764705882353,34,0
AFG_2Q24.pdf,AFG,2024,2Q,"We also chose to see more business in our excess liability business through the use of facultative
reinsurance placements.",reinsurance,Financial,5.774902820121497e-05,0.00012799321848433465,0.9998142123222351,0.0,0.091,0.909,43.73,13.92,0.0,0.9473684210526315,19,0
AFG_2Q24.pdf,AFG,2024,2Q,"I'm pleased that we continue to achieve renewal rate increases in excess of 10% during the quarter and
several of those social inflation exposed businesses that I mentioned, including our public entity, social
services and excess liability businesses.
",rate increases,Financial,1.0,3.634519796236191e-09,1.259074533521698e-08,0.072,0.077,0.85,15.99,23.62,0.0,0.868421052631579,38,2
AFG_2Q24.pdf,AFG,2024,2Q,"Our Specialty other group, although small, includes our internal reinsurance facility that
we typically don't discuss on our earnings calls as it is small.
",reinsurance,Financial,3.6107206824453897e-07,5.180009793548379e-06,0.9999945163726807,0.0,0.0,1.0,38.66,17.93,0.0,0.9583333333333334,24,0
AFG_2Q24.pdf,AFG,2024,2Q,"For perspective, however, if the results for our internal reinsurance facility were simply
pushed into the Specialty Casualty results in the second quarter of this year, that group's calendar year
combined ratio would still be under 90%.
",reinsurance,Financial,0.0004924128297716379,0.5934814810752869,0.40602612495422363,0.0,0.086,0.914,25.46,21.29,0.0,0.918918918918919,37,3
AFG_2Q24.pdf,AFG,2024,2Q,"Well, obviously, a major hurricane would cause a year not to be as good.",hurricane,Climate,8.623833309684414e-07,0.9999226331710815,7.647306483704597e-05,0.333,0.0,0.667,74.19,11.31,0.0,0.9285714285714286,14,1
AFG_2Q24.pdf,AFG,2024,2Q,"But in both
businesses, and in that business, we'd be using more facultative reinsurance, maybe on certain risks if we
want to downsize our exposure, risk by risk, depending on the risk profile.",reinsurance,Financial,7.329254572141508e-07,6.039622348907869e-06,0.9999932050704956,0.098,0.254,0.647,46.44,19.26,0.0,0.9090909090909091,33,0
AFG_2Q24.pdf,AFG,2024,2Q,"So not only have we been getting good rate increases there and taking underwriting actions in areas like
our Specialty Human Services business that we talked about last quarter or our public entity business that
we talked about last year, where we've been making some decisions on pricing as well as, for example, in
the public entity business, looking at the insured retentions, so they were writing coverage over pooled
retentions.",rate increases,Financial,0.28882935643196106,0.001232307287864387,0.7099383473396301,0.099,0.0,0.901,7.87,32.91,0.0,0.8169014084507042,71,3
AFG_2Q24.pdf,AFG,2024,2Q,"I probably want to get a little further along in the
hurricane season and before we make final decisions on that.",hurricane,Climate,2.8563830412053903e-08,0.0001147639486589469,0.9998852014541626,0.067,0.0,0.933,58.62,14.11,0.0,1.0,21,0
AFG_3Q07.pdf,AFG,2007,3Q,"These results reflect the impact of earned premium growth, continuing rate
adequacy in most of our businesses, continued favorable reserve development and
lower catastrophe losses.
",catastrophe,Financial,0.9999998807907104,1.2936372684180242e-07,1.2761654843984616e-08,0.163,0.266,0.571,12.26,22.8,0.0,0.96,25,0
AFG_3Q07.pdf,AFG,2007,3Q,"Catastrophe losses have been negligible compared to $22
million or 1.2 points last year.",catastrophe,Financial,0.00013018783647567034,0.17848610877990723,0.8213836550712585,0.0,0.372,0.628,64.37,8.51,0.0,1.0,14,3
AFG_3Q07.pdf,AFG,2007,3Q,"Growth in net written premiums is somewhat depressed due to
the 2006 restructuring of program business reinsurance that resulted in the
return of approximately $26 million in premium to us last year.",reinsurance,Financial,1.4751601611351361e-06,0.9999957084655762,2.78865036307252e-06,0.073,0.084,0.843,30.54,20.3,0.0,0.84375,32,3
AFG_3Q07.pdf,AFG,2007,3Q,"This group was partially offset by
significant rate reductions in the California
comp business, as well as our decisions to exit the residual value insurance
and earthquake-exposed excess property businesses in the early part of '06.
",earthquake,Climate,0.411847859621048,0.4154093265533447,0.17274287343025208,0.16,0.0,0.84,18.02,24.4,0.0,0.8888888888888888,36,2
AFG_3Q07.pdf,AFG,2007,3Q,"The 2007 and 2008 expected results exclude the potential for
extraordinary catastrophe and crop losses, adjustments to A&E reserves or
large real estate gains.
",catastrophe,Financial,0.00011898927186848596,0.0029454382602125406,0.9969356060028076,0.076,0.287,0.637,30.2,17.93,0.0,0.9583333333333334,24,3
AFG_3Q08.pdf,AFG,2008,3Q,"Improved results in our annuity and supplemental insurance operations, and higher investment
income were offset by lower underwriting results in our property and casualty operations, largely driven by
catastrophe losses.
",catastrophe,Financial,0.9999985694885254,1.2214658227094333e-06,1.8062348772218684e-07,0.076,0.311,0.613,-9.74,24.0,0.0,0.7666666666666667,30,0
AFG_3Q08.pdf,AFG,2008,3Q,"Our capital adequacy, financial condition and
liquidity remain very strong as evidenced by Standard & Poor's recent report affirming the stable outlook
our investment grade debt ratings and our insurance operations financial strength ratings.
",capital adequacy,Financial,1.0,1.657562087586939e-08,9.963176950122943e-09,0.222,0.062,0.716,4.14,24.11,0.0,0.9117647058823529,34,1
AFG_3Q08.pdf,AFG,2008,3Q,"Its third quarter results were impacted by catastrophe losses primarily within
Great American's Property & Inland Marine division and lower underwriting profit in our crop operations,
which were offset somewhat by higher favorable reserve development.",catastrophe,Financial,2.1401710910140537e-06,0.9999959468841553,1.9702326881088084e-06,0.209,0.197,0.594,-5.34,25.36,0.0,0.9428571428571428,35,2
AFG_3Q08.pdf,AFG,2008,3Q,"Apart from the catastrophe losses,
this group produced exceptionally strong profitability in the 2008 third quarter.
",catastrophe,Financial,1.0,9.624959496079555e-09,2.927702524857523e-09,0.238,0.283,0.479,38.32,13.9,0.0,0.9375,16,1
AFG_3Q08.pdf,AFG,2008,3Q,"We'll maintain financial leverage
and capital adequacy that's consistent with our rating levels and our commitments to rating agencies in
the market.
",capital adequacy,Financial,0.000724078097846359,1.7011576346703805e-05,0.999258816242218,0.067,0.0,0.933,32.22,16.07,0.0,0.8636363636363636,22,0
AFG_3Q08.pdf,AFG,2008,3Q,"Our investment group will focus on achieving returns over the long term that outperform various market
indices while effectively managing our portfolio risk and we'll evaluate opportunities within our real estate AMERICAN FINANCIAL GROUP, INC. FQ3 2008 EARNINGS CALL  OCT 28, 2008
",portfolio risk,Financial,0.0010740963043645024,0.00010544584802119061,0.9988203644752502,0.118,0.045,0.837,33.24,16.97,0.0,0.9523809523809523,42,3
AFG_3Q08.pdf,AFG,2008,3Q,"The 2008 and 2009
expected results exclude the potential for extraordinary catastrophe in crop losses and adjustments to any
reserves.
",catastrophe,Financial,5.188485374674201e-05,0.0002875697682611644,0.9996606111526489,0.0,0.346,0.654,34.26,18.0,0.0,0.95,20,2
AFG_3Q08.pdf,AFG,2008,3Q,"their excess capital has to be impacted a lot by the hurricane losses and by the
impairment, the asset write-downs in the third quarter and this year.",hurricane,Climate,0.00013681255222763866,0.9936463832855225,0.006216804496943951,0.086,0.092,0.822,52.53,15.24,0.0,0.8148148148148148,27,2
AFG_3Q09.pdf,AFG,2009,3Q,"Our capital adequacy, financial condition and liquidity remain strong and are key areas of focus for us,
especially in these times of economic uncertainty.",capital adequacy,Financial,0.9999998807907104,3.957859817660392e-08,1.3781733798623463e-07,0.119,0.087,0.794,13.28,21.27,0.0,0.9166666666666666,24,0
AFG_3Q09.pdf,AFG,2009,3Q,"The decrease in net written premiums for the third quarter that were primarily the result of changes in
our reinsurance for the Crop business.",reinsurance,Financial,0.00024122768081724644,0.8017832040786743,0.19797559082508087,0.0,0.0,1.0,55.58,14.6,0.0,0.8333333333333334,24,2
AFG_3Q09.pdf,AFG,2009,3Q,"Higher underwriting profits were driven primarily by improved results in our crop operations and
lower catastrophe losses in our Property & Inland Marine operations.",catastrophe,Financial,1.0,7.1632433318313815e-09,9.60092183532879e-09,0.18,0.279,0.541,5.83,17.9,0.0,0.9166666666666666,24,1
AFG_3Q09.pdf,AFG,2009,3Q,"The foreign trade credit operations achieved significant rate increases for the first nine months of 2009.
",rate increases,Financial,0.9999998807907104,1.0177428677593525e-08,7.456358730451029e-08,0.239,0.0,0.761,55.24,13.9,0.0,1.0,16,1
